,0,1,class
COc1ccc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c1,-18.036736,-9.328906,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-15.575231,-8.602375,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-15.97279,-8.248786,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-15.652286,-9.136016,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-16.375824,-8.909577,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-16.461935,-8.09941,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-16.059088,-9.3754425,9
COc1cc(OC)c(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)cc1OC,-16.616648,-8.526669,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-18.232151,-7.803202,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-18.504324,-6.9787974,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-17.848028,-7.1259127,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-18.676573,-7.9110374,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-19.088335,-7.8015294,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-17.909948,-7.4569125,9
COc1ccc(C2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)c2ccccc12,-18.964008,-7.1829953,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.154303,-4.948044,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.770473,-4.5423813,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-15.838799,-4.6128163,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.407635,-3.949702,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.560514,-4.9384007,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.849955,-4.093773,9
CC1=CC(C)=[N+]2C1=C(c1cccc3cc(O)ccc13)c1c(C)cc(C)n1[B-]2(F)F,-16.005934,-4.1826916,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-12.6746025,-2.3775969,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-12.656393,-3.245113,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-13.067696,-3.0628073,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-13.280683,-2.6359198,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-12.27235,-3.001287,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-12.359715,-2.590209,9
CC1=[N+]2C(=C(c3cccc4cc(O)ccc34)c3ccc(C)n3[B-]2(F)F)C=C1,-13.122585,-2.2754912,9
